id,nome,corso,academic_profile,aspiration_values,lifestyle_preferences,annual_cost,city,coordinates,min_gpa,prestige_rank,duration_years,employment_rate,english_courses,dorms_available,admission_test_required,extracurricular_clubs
11,Università degli Studi di Milano-Bicocca,Biotecnologie,"Biotecnologie, Scienze della Vita, Laboratori | Forte taglio sperimentale","Ricerca in ambito biotech, farmaceutico, biomedicale, dottorati internazionali","Campus moderno, molta attività di laboratorio, zona semicentrale tranquilla",2700,Milano,"{""lat"": 45.518, ""lon"": 9.2118}",7.5,28,3,88,True,True,True,True
12,Università degli Studi di Milano-Bicocca,Sociologia,"Sociologia, Studi Sociali, Analisi delle Politiche Pubbliche","Ricerca sociale, terzo settore, politiche pubbliche, HR e people analytics","Ambiente collaborativo, molti lavori di gruppo, attenzione alle tematiche sociali",2300,Milano,"{""lat"": 45.518, ""lon"": 9.2118}",6.0,70,3,70,False,True,False,True
13,IULM – Libera Università di Lingue e Comunicazione,"Comunicazione, Media e Pubblicità","Comunicazione, Marketing, Media, Pubblicità | NO: Ingegneria, STEM","Lavorare in agenzie creative, brand, media company, eventi e PR","Ambiente creativo, molti progetti pratici, contatto con aziende e agenzie",6000,Milano,"{""lat"": 45.438, ""lon"": 9.154}",7.0,65,3,87,True,False,True,True
14,NABA – Nuova Accademia di Belle Arti,Design e Arti Visive,"Design, Arti Visive, Fashion, Graphic Design","Carriera creativa in studi di design, moda, game art, visual communication","Ambiente molto creativo e informale, progetti, portfolio, eventi culturali",9000,Milano,"{""lat"": 45.452, ""lon"": 9.154}",7.0,60,3,85,True,False,True,True
15,Politecnico di Milano,Ingegneria Gestionale,"Ingegneria Gestionale, Operations, Management Engineering","Lavorare tra tecnologia e business, consulenza, supply chain, industria 4.0","Ambiente competitivo, molti case study con aziende, progetti di gruppo",3600,Milano,"{""lat"": 45.4773, ""lon"": 9.2282}",7.5,10,3,96,True,True,True,True
16,Sapienza Università di Roma,Ingegneria Aerospaziale,"Ingegneria Aerospaziale, Meccanica del volo, Strutture aeronautiche","Carriera nell'aerospazio, agenzie spaziali, aziende aeronautiche","Campus grande, lezioni impegnative, pratica di laboratorio, città molto viva",2600,Roma,"{""lat"": 41.9028, ""lon"": 12.4964}",8.0,8,3,93,True,True,True,True
17,Sapienza Università di Roma,Giurisprudenza,"Diritto, Studi Giuridici, Legislazione Italiana e UE","Avvocatura, magistratura, carriera nelle istituzioni pubbliche","Molto studio individuale, grandi aule, forte tradizione accademica",2300,Roma,"{""lat"": 41.9028, ""lon"": 12.4964}",7.0,18,5,82,False,True,False,True
18,Sapienza Università di Roma,Psicologia,"Psicologia Clinica, Psicologia Sociale, Neuroscienze","Lavoro clinico, psicologia della salute, ricerca psicologica","Ambiente molto vario, campus grande, molte associazioni studentesche",2400,Roma,"{""lat"": 41.9028, ""lon"": 12.4964}",7.5,20,5,86,True,True,True,True
19,Università degli Studi Roma Tre,Scienze della Comunicazione,"Comunicazione, Media, Giornalismo, Studi Culturali","Lavoro nei media, comunicazione digitale, produzione contenuti","Ambiente informale, forte vita associativa, città ricca di eventi",2100,Roma,"{""lat"": 41.86, ""lon"": 12.47}",6.0,75,3,72,False,False,False,True
20,Università degli Studi Roma Tre,Ingegneria Civile,"Ingegneria Civile, Strutture, Infrastrutture","Progettazione di opere pubbliche, infrastrutture, edilizia sostenibile","Molti laboratori tecnici, progetto di gruppo, contatto con realtà del territorio",2300,Roma,"{""lat"": 41.86, ""lon"": 12.47}",7.0,85,3,80,False,False,True,True
21,LUISS Guido Carli,Scienze Politiche,"Scienze Politiche, Economia, Diritto | Business & policy oriented","Carriera manageriale, consulenza, istituzioni internazionali, think tank","Ambiente elitario e molto network-driven, eventi con aziende e istituzioni",11000,Roma,"{""lat"": 41.928, ""lon"": 12.501}",8.5,9,3,97,True,True,True,True
22,LUMSA – Libera Università Maria SS. Assunta,Scienze dell'Educazione,"Scienze dell'Educazione, Pedagogia, Formazione","Lavoro educativo in scuole, cooperative sociali, servizi alla persona","Ambiente medio-piccolo, forte attenzione alla persona, ritmi meno competitivi",5000,Roma,"{""lat"": 41.9028, ""lon"": 12.48}",6.5,90,3,78,False,False,True,True
23,Università Campus Bio-Medico di Roma,Ingegneria Biomedica,"Ingegneria Biomedica, Tecnologie per la salute, Dispositivi medici","Ricerca e sviluppo in biomedicale, ospedali high-tech, aziende medicali","Campus moderno e relativamente piccolo, forte collaborazione tra studenti e docenti",9500,Roma,"{""lat"": 41.788, ""lon"": 12.424}",8.5,30,3,95,True,True,True,True
24,"Università degli Studi di Roma ""Foro Italico""",Scienze Motorie,"Scienze Motorie, Sport, Movimento Umano","Lavoro nello sport, preparazione atletica, wellness, insegnamento di educazione fisica","Alto livello di attività fisica, ambienti sportivi, vita all'aria aperta",2200,Roma,"{""lat"": 41.9285, ""lon"": 12.456}",6.5,95,3,80,False,False,True,True
25,Politecnico di Torino,Ingegneria Meccanica,"Ingegneria Meccanica, Automazione, Automotive","Industria automotive, robotica, progettazione meccanica","Forte impronta tecnica, città grande ma vivibile, molti studenti fuori sede",2800,Torino,"{""lat"": 45.0703, ""lon"": 7.6869}",7.5,22,3,92,True,True,True,True
26,Università degli Studi di Torino,Medicina e Chirurgia,"Medicina, Chirurgia, Scienze della Salute","Carriera medica ospedaliera, ricerca clinica, specializzazioni di alto livello","Molto studio strutturato, tirocini, città culturalmente attiva ma meno caotica di Roma/Milano",2900,Torino,"{""lat"": 45.0703, ""lon"": 7.6869}",8.5,26,6,98,True,True,True,True
27,Università degli Studi di Torino,Scienze Naturali,"Scienze Naturali, Ecologia, Geologia","Ricerca ambientale, gestione del territorio, divulgazione scientifica","Attività sul campo, escursioni, interesse per natura e ambiente",2100,Torino,"{""lat"": 45.0703, ""lon"": 7.6869}",6.0,70,3,68,False,True,False,True
28,Università di Bologna,Ingegneria Gestionale,"Ingegneria Gestionale, Organizzazione Industriale, Management","Consulenza, operations, supply chain management","Città universitaria molto viva, forte vita notturna, comunità internazionale",2500,Bologna,"{""lat"": 44.4949, ""lon"": 11.3426}",7.5,17,3,92,True,True,True,True
29,Università di Bologna,Medicina e Chirurgia,"Medicina, Chirurgia, Scienze Mediche","Professione medica, ricerca, specializzazioni ospedaliere","Carico di studio molto alto, tirocini, vita cittadina vivace ma con poco tempo libero",3000,Bologna,"{""lat"": 44.4949, ""lon"": 11.3426}",8.8,14,6,99,True,True,True,True
30,Università di Bologna,Economia Aziendale,"Economia Aziendale, Management, Contabilità","Impresa, consulenza, controllo di gestione, audit","Molti gruppi di studio, città studentesca con forte socialità",2400,Bologna,"{""lat"": 44.4949, ""lon"": 11.3426}",7.0,24,3,88,True,True,True,True
31,Università degli Studi di Firenze,Architettura,"Architettura, Restauro, Progettazione","Studio di architettura, urbanistica, restauro del patrimonio","Città d'arte, forte ispirazione estetica, vita culturale intensa",2400,Firenze,"{""lat"": 43.7696, ""lon"": 11.2558}",7.5,32,5,84,False,True,True,True
32,Università degli Studi di Firenze,Scienze Politiche,"Scienze Politiche, Studi Internazionali, Amministrazione","PA, organizzazioni internazionali, giornalismo politico","Città ricca di studenti Erasmus, molti eventi cultural-politici",2200,Firenze,"{""lat"": 43.7696, ""lon"": 11.2558}",6.5,55,3,78,True,True,False,True
33,Università di Pisa,Informatica,"Informatica, Algoritmi, Sistemi Operativi","Software engineering, ricerca in CS, dottorati","Città medio-piccola, forte comunità studentesca, contesto abbastanza tranquillo",2300,Pisa,"{""lat"": 43.716, ""lon"": 10.3966}",7.0,27,3,88,True,True,True,True
34,Università di Pisa,Fisica,"Fisica Teorica e Sperimentale, Astrofisica","Ricerca in fisica fondamentale, dottorati internazionali","Ambiente accademico intenso, community di studenti molto appassionati",2300,Pisa,"{""lat"": 43.716, ""lon"": 10.3966}",7.5,30,3,85,True,True,False,True
35,Università degli Studi di Siena,Economia,"Economia, Finanza, Scienze Bancarie","Banche, servizi finanziari, controllo di gestione","Città piccola e molto caratteristica, forte senso di comunità studentesca",2100,Siena,"{""lat"": 43.3188, ""lon"": 11.3308}",6.5,50,3,80,True,True,False,True
36,Università per Stranieri di Siena,Lingua e Cultura Italiana per Stranieri,"Lingua italiana, Cultura, Didattica dell'Italiano L2","Insegnamento dell'italiano all'estero, mediazione interculturale","Contesto altamente internazionale, molti studenti stranieri",2600,Siena,"{""lat"": 43.3188, ""lon"": 11.3308}",6.0,90,3,70,False,True,False,True
37,Università degli Studi di Padova,Ingegneria Informatica,"Ingegneria Informatica, Sistemi, Reti","Software engineering, cybersecurity, industria IT","Città universitaria, molti studenti fuori sede, buon equilibrio studio-vita sociale",2500,Padova,"{""lat"": 45.4064, ""lon"": 11.8768}",7.5,16,3,92,True,True,True,True
38,Università degli Studi di Padova,Psicologia,"Psicologia, Neuroscienze, Psicologia Cognitiva","Ricerca psicologica, clinica, HR, neuropsicologia","Molti laboratori e possibilità di ricerca, città student-friendly",2500,Padova,"{""lat"": 45.4064, ""lon"": 11.8768}",8.0,19,5,90,True,True,True,True
39,Università Ca' Foscari Venezia,Economia Aziendale,"Economia, Management, Commercio Internazionale","Carriera nel business internazionale, turismo, finance","Città unica, logistica particolare, forte presenza di studenti stranieri",2400,Venezia,"{""lat"": 45.4408, ""lon"": 12.3155}",6.5,45,3,82,True,False,False,True
40,Università IUAV di Venezia,Architettura,"Architettura, Urbanistica, Design del Territorio","Carriera in studi di architettura, paesaggio, urban design","Ambiente altamente creativo, progetti e laboratori, contesto urbano unico",2500,Venezia,"{""lat"": 45.4408, ""lon"": 12.3155}",7.5,60,5,84,False,False,True,True
41,Università degli Studi di Verona,Scienze Motorie,"Scienze Motorie, Sport, Benessere","Preparazione atletica, wellness, attività fisica adattata","Città di medie dimensioni, buona qualità della vita, ambiente sportivo",2200,Verona,"{""lat"": 45.4384, ""lon"": 10.9916}",6.5,70,3,78,False,True,True,True
42,Università degli Studi di Genova,Ingegneria Navale,"Ingegneria Navale, Progettazione di Navi, Impianti Marittimi","Cantieristica navale, trasporti marittimi, offshore","Città di mare, vita tra porto e centro storico, forte legame con il territorio",2300,Genova,"{""lat"": 44.4056, ""lon"": 8.9463}",7.0,55,3,90,True,True,True,True
43,Università degli Studi di Pavia,Medicina e Chirurgia,"Medicina, Chirurgia, Scienze Biomediche","Carriera medica, ricerca, specializzazioni in ospedali universitari","Città piccola, storica tradizione di collegi universitari, ambiente molto studentesco",2800,Pavia,"{""lat"": 45.1847, ""lon"": 9.1582}",8.5,23,6,99,True,True,True,True
44,Università degli Studi di Bari Aldo Moro,Giurisprudenza,"Giurisprudenza, Diritto, Scienze Giuridiche","Professioni legali, PA, consulenza in ambito meridionale e nazionale","Città di mare, clima mite, comunità studentesca vivace",2000,Bari,"{""lat"": 41.1171, ""lon"": 16.8719}",6.0,80,5,72,False,True,False,True
45,Politecnico di Bari,Ingegneria Civile,"Ingegneria Civile, Strutture, Infrastrutture","Progettazione edilizia, infrastrutture, lavori pubblici","Ambiente tecnico, legame con il territorio, vita da città portuale",2200,Bari,"{""lat"": 41.1171, ""lon"": 16.8719}",7.0,85,3,82,False,False,True,True
46,Università del Salento,Beni Culturali,"Beni Culturali, Archeologia, Storia dell'Arte","Tutela e valorizzazione del patrimonio, musei, turismo culturale","Forte legame con il territorio salentino, città medio-piccola, clima molto mite",1900,Lecce,"{""lat"": 40.352, ""lon"": 18.169}",6.0,95,3,68,False,True,False,True
47,Università degli Studi di Napoli Federico II,Ingegneria Informatica,"Ingegneria Informatica, Sistemi, Reti, AI","Sviluppo software, ricerca, start-up tech nel Sud Italia","Grande città del Sud, forte identità locale, vita sociale molto intensa",2200,Napoli,"{""lat"": 40.8518, ""lon"": 14.2681}",7.0,29,3,85,True,True,True,True
48,"Università degli Studi di Napoli ""L'Orientale""",Lingue e Culture Orientali,"Lingue Orientali, Studi Asiatici, Mediazione","Mediazione interculturale, diplomazia, aziende internazionali","Ambiente molto umanistico, tanti studenti appassionati di lingue e culture",2000,Napoli,"{""lat"": 40.8518, ""lon"": 14.2681}",6.0,75,3,70,False,False,False,True
49,Università degli Studi di Napoli Parthenope,Economia Marittima,"Economia Marittima, Logistica, Trasporti","Carriera nei porti, shipping, logistica internazionale","Forte connessione col porto e il mare, vita urbana caotica ma stimolante",2100,Napoli,"{""lat"": 40.8518, ""lon"": 14.2681}",6.0,85,3,78,False,False,False,True
50,Università degli Studi di Salerno,Informatica,"Informatica, Sistemi, Software Engineering","Sviluppo software, consulenza IT, possibilità di remote working","Campus moderno extraurbano, comunità studentesca concentrata nel campus",2000,Salerno,"{""lat"": 40.6824, ""lon"": 14.7681}",6.5,90,3,80,False,True,True,True
51,Università degli Studi di Catania,Ingegneria Elettronica,"Ingegneria Elettronica, Microelettronica, Sistemi","Industria elettronica, semiconduttori, R&D tecnologico","Città del Sud con vita vivace, forte identità locale, clima caldo",2000,Catania,"{""lat"": 37.5079, ""lon"": 15.083}",7.0,80,3,82,False,True,True,True
52,Università degli Studi di Palermo,Giurisprudenza,"Giurisprudenza, Diritto, Studi Giuridici","Professioni legali, PA, advocacy nel contesto regionale","Città grande del Sud, vita sociale intensa, forte tradizione culturale",1900,Palermo,"{""lat"": 38.1157, ""lon"": 13.3615}",6.0,90,5,70,False,True,False,True
53,Università degli Studi di Cagliari,Fisica,"Fisica, Scienze di Base, Ricerca","Ricerca in fisica teorica/sperimentale, carriera accademica","Città di mare, clima mite, vita abbastanza rilassata",2000,Cagliari,"{""lat"": 39.2238, ""lon"": 9.1217}",7.0,95,3,75,False,True,False,True
54,Università degli Studi di Trieste,Matematica,"Matematica Pura e Applicata, Statistica","Ricerca, data science, ruoli analitici ad alta specializzazione","Città di confine, contesto internazionale, clima ventoso ma affascinante",2100,Trieste,"{""lat"": 45.6495, ""lon"": 13.7768}",7.5,60,3,85,True,True,False,True
55,Università degli Studi di Perugia,Scienze Agrarie e Ambientali,"Scienze Agrarie, Ambiente, Agroalimentare","Gestione sostenibile del territorio, filiera agroalimentare, consulenza ambientale","Città collinare, atmosfera tranquilla, forte presenza di studenti Erasmus",2000,Perugia,"{""lat"": 43.1107, ""lon"": 12.3908}",6.0,85,3,76,False,True,False,True
56,Università degli Studi dell'Aquila,Ingegneria dell'Informazione,"Ingegneria dell'Informazione, elettronica e telecomunicazioni","Lavorare in ICT, telecomunicazioni, ricerca applicata","Città di medie dimensioni, contesto tranquillo, focus sullo studio",2200,L'Aquila,"{""lat"": 42.351, ""lon"": 13.3984}",6.5,70,3,80,False,True,True,True
57,Università degli Studi dell'Aquila,Scienze della Formazione,"Scienze dell'Educazione, pedagogia, formazione insegnanti","Insegnamento, educazione, lavoro nel sociale","Ambiente cooperativo, molti tirocini nelle scuole",2000,L'Aquila,"{""lat"": 42.351, ""lon"": 13.3984}",6.0,85,3,70,False,True,False,True
58,Università degli Studi di Teramo,Scienze della Comunicazione,"Comunicazione, media, giornalismo","Lavorare in tv, radio, uffici stampa, social media","Città piccola, ritmi più lenti, rapporto stretto con i docenti",1900,Teramo,"{""lat"": 42.6612, ""lon"": 13.699}",6.0,95,3,65,False,False,False,True
59,Università degli Studi della Basilicata,Scienze e Tecnologie Agrarie,"Scienze agrarie, ambiente, agroalimentare","Lavorare nella filiera agricola, enti territoriali, consulenza tecnica","Contesto regionale, forte legame con il territorio e le aree rurali",1800,Potenza,"{""lat"": 40.6395, ""lon"": 15.8051}",6.0,90,3,70,False,True,False,True
60,Università della Calabria,Ingegneria Gestionale,"Ingegneria gestionale, logistica, operations","Consulenza, industria manifatturiera, imprese di servizi","Campus unico a Rende, forte vita universitaria interna",2100,Rende,"{""lat"": 39.3579, ""lon"": 16.227}",6.5,60,3,82,True,True,True,True
61,Università degli Studi Magna Graecia di Catanzaro,Medicina e Chirurgia,"Medicina, chirurgia, scienze della salute",Carriera medica ospedaliera nel Sud Italia,"Molto studio, legame con ospedali del territorio",2300,Catanzaro,"{""lat"": 38.905, ""lon"": 16.589}",8.5,65,6,98,False,True,True,True
62,Università Mediterranea di Reggio Calabria,Architettura,"Architettura, urbanistica, paesaggio",Progettazione architettonica in contesti mediterranei,"Città di mare, clima mite, vita sociale informale",2000,Reggio Calabria,"{""lat"": 38.1113, ""lon"": 15.6473}",7.0,85,5,78,False,False,True,True
63,Università degli Studi di Bergamo,Ingegneria Gestionale,"Ingegneria gestionale, industria, supply chain","Imprese manifatturiere del Nord Italia, consulenza","Città media del Nord, buona qualità della vita",2300,Bergamo,"{""lat"": 45.6983, ""lon"": 9.6773}",7.0,55,3,88,True,False,True,True
64,Università degli Studi di Brescia,Ingegneria Civile,"Ingegneria civile, strutture, infrastrutture","Edilizia, infrastrutture viarie, uffici tecnici di enti locali","Città industriale del Nord, contesto pragmatico",2300,Brescia,"{""lat"": 45.5416, ""lon"": 10.2118}",7.0,60,3,86,False,False,True,True
65,Libera Università di Bolzano,Economia e Management del Turismo,"Economia, management, turismo alpino","Lavorare in hotel, destination management, consulenza turistica","Ambiente trilingue (it/de/en), montagna, outdoor",3500,Bolzano,"{""lat"": 46.4983, ""lon"": 11.3548}",7.5,35,3,90,True,True,True,True
66,Università degli Studi di Udine,Scienze e Tecnologie Alimentari,"Tecnologie alimentari, qualità, sicurezza del cibo","Industria alimentare del Nord-Est, controllo qualità","Città media, forte legame con il tessuto produttivo locale",2200,Udine,"{""lat"": 46.0626, ""lon"": 13.2349}",6.5,50,3,84,True,True,False,True
67,Università degli Studi di Ferrara,Giurisprudenza,"Diritto civile e penale, diritto europeo",Professioni forensi e pubblica amministrazione,"Città storica, dimensione medio-piccola, molti studenti fuorisede",2100,Ferrara,"{""lat"": 44.8381, ""lon"": 11.6198}",6.5,65,5,78,False,True,False,True
68,Università degli Studi di Modena e Reggio Emilia,Ingegneria Meccatronica,"Meccatronica, automazione, automotive","Industria automotive emiliana, robotica, sistemi di produzione","Città di provincia ricca, forte tessuto industriale",2300,Modena,"{""lat"": 44.646, ""lon"": 10.9252}",7.5,32,3,92,True,True,True,True
69,Università degli Studi di Parma,Scienze Gastronomiche,"Gastronomia, qualità alimentare, cultura del cibo","Food industry, comunicazione gastronomica, consulenza","Città media, forte identità culinaria, contesto vivibile",2300,Parma,"{""lat"": 44.8015, ""lon"": 10.3279}",6.5,55,3,82,False,True,False,True
70,Università Politecnica delle Marche,Ingegneria Biomedica,"Ingegneria, elettronica per la salute, dispositivi medici","Biomedicale, sanità, aziende di dispositivi medicali","Città di mare (Ancona), vita studentesca equilibrata",2200,Ancona,"{""lat"": 43.6158, ""lon"": 13.5189}",7.0,50,3,88,True,False,True,True
71,Università degli Studi di Urbino Carlo Bo,Scienze della Comunicazione,"Comunicazione, media digitali, pubblicità","Digital marketing, media, content creation","Piccola città d'arte, campus diffuso, comunità molto coesa",2000,Urbino,"{""lat"": 43.7262, ""lon"": 12.6366}",6.0,75,3,75,False,True,False,True
72,Università degli Studi di Macerata,Lettere,"Lettere, studi umanistici, storia","Insegnamento, editoria, comunicazione culturale","Città piccola di collina, ritmi lenti, comunità stretta",1900,Macerata,"{""lat"": 43.2991, ""lon"": 13.453}",6.0,90,3,65,False,False,False,True
73,Università degli Studi di Camerino,Informatica,"Informatica, software, reti","Software house, consulenza IT, ricerca","Piccola cittadina interna, poche distrazioni, focus sullo studio",2000,Camerino,"{""lat"": 43.1372, ""lon"": 13.068}",6.5,70,3,82,True,True,True,True
74,Università degli Studi di Cassino e del Lazio Meridionale,Ingegneria Elettronica,"Elettronica, sistemi digitali, automazione","Industria elettronica, automazione, ricerca applicata","Campus fuori dal grande centro urbano, comunità di dimensioni contenute",2000,Cassino,"{""lat"": 41.4925, ""lon"": 13.8281}",6.5,90,3,78,False,False,True,True
75,Università degli Studi della Tuscia,Scienze Forestali e Ambientali,"Foreste, ambiente, biodiversità","Enti parco, consulenza ambientale, PA","Città medio-piccola (Viterbo), contatto con la natura",1900,Viterbo,"{""lat"": 42.4207, ""lon"": 12.1077}",6.0,85,3,72,False,True,False,True
76,Università degli Studi del Molise,Economia Aziendale,"Economia, gestione d'impresa, contabilità","Imprese locali, studi professionali, PA","Contesto molto raccolto, città piccola (Campobasso)",1800,Campobasso,"{""lat"": 41.56, ""lon"": 14.659}",6.0,95,3,68,False,True,False,True
77,Università degli Studi del Sannio,Ingegneria Informatica,"Informatica, sistemi, reti","Sviluppo software, consulenza IT anche fuori regione","Città medio-piccola (Benevento), costi di vita contenuti",1900,Benevento,"{""lat"": 41.129, ""lon"": 14.782}",6.5,90,3,80,False,False,True,True
78,Università degli Studi di Foggia,Scienze e Tecnologie Alimentari,Scienze agrarie e alimentari,"Industria agroalimentare, controllo qualità, ricerca applicata","Città di pianura nel Sud, clima caldo, costi bassi",1800,Foggia,"{""lat"": 41.4622, ""lon"": 15.5446}",6.0,95,3,70,False,False,False,True
79,Università degli Studi di Messina,Scienze Politiche e Relazioni Internazionali,"Scienze politiche, relazioni internazionali","PA, ONG, gestione di progetti europei","Città di mare, traghetti, forte identità locale",1900,Messina,"{""lat"": 38.1938, ""lon"": 15.554}",6.0,85,3,68,False,True,False,True
80,Università degli Studi di Sassari,Medicina Veterinaria,"Veterinaria, zootecnia, sanità animale","Cliniche veterinarie, allevamenti, servizi sanitari","Città media sarda, contesto insulare, forte legame con territorio",2200,Sassari,"{""lat"": 40.7275, ""lon"": 8.559}",8.0,70,5,90,False,True,True,True
81,Università degli Studi di Enna Kore,Psicologia,"Psicologia, scienze umane","Lavoro clinico, scolastico o nel sociale nel contesto siciliano","Città interna, campus moderno, comunità relativamente piccola",2300,Enna,"{""lat"": 37.5667, ""lon"": 14.2833}",6.5,95,5,70,False,False,True,True
82,Università degli Studi della Campania Luigi Vanvitelli,Architettura,"Architettura, design, restauro","Studio di architettura, PA, restauro di beni storici","Sedi diffuse tra Caserta e Aversa, contesto suburbano",2100,Aversa,"{""lat"": 40.9722, ""lon"": 14.2077}",7.0,75,5,80,False,False,True,True
83,Università degli Studi di Roma Tre,Scienze dell'Educazione,"Educazione, pedagogia, formazione","Lavoro in scuole, servizi sociali, cooperative",Vita metropolitana romana ma ambiente di corso più raccolto,2100,Roma,"{""lat"": 41.86, ""lon"": 12.47}",6.0,80,3,72,False,False,False,True
84,Politecnico di Torino,Ingegneria Informatica,"Informatica, sistemi, cybersecurity","Software engineering, big tech, automotive software","Forte selezione, ambiente molto tecnico e competitivo",2800,Torino,"{""lat"": 45.0703, ""lon"": 7.6869}",7.5,20,3,95,True,True,True,True
85,Università degli Studi di Padova,Medicina e Chirurgia,"Medicina, clinica, ricerca biomedica","Ospedali del Nord-Est, carriera accademica in area medica","Città universitaria, ritmi intensi ma vita sociale forte",3000,Padova,"{""lat"": 45.4064, ""lon"": 11.8768}",8.8,10,6,99,True,True,True,True
86,Università degli Studi di Pisa,Economia e Commercio,"Economia, finanza, politica economica","Impresa, PA, banche, consulenza",Città studentesca con forte tradizione universitaria,2300,Pisa,"{""lat"": 43.716, ""lon"": 10.3966}",6.5,25,3,85,True,True,True,True
87,Scuola Superiore Sant'Anna di Pisa,Scienze Politiche (Classe di Scienze Sociali),"Scienze politiche avanzate, economia, diritto","Carriere di vertice in PA, istituzioni internazionali, accademia","Collegio d'eccellenza, ambiente super selettivo e residenziale",0,Pisa,"{""lat"": 43.716, ""lon"": 10.3966}",9.5,1,5,100,True,True,True,True
88,Scuola Normale Superiore di Pisa,Fisica,"Fisica teorica, matematica, ricerca di base","Ricerca accademica internazionale, dottorato","Piccolissimo collegio d'élite, ambiente iper-selettivo",0,Pisa,"{""lat"": 43.716, ""lon"": 10.3966}",9.8,1,3,100,True,True,True,True
89,Università Telematica eCampus,Ingegneria Informatica,"Informatica online, programmazione, sistemi",Lavorare in IT conciliando studio e lavoro,"Studio completamente online, grande flessibilità oraria",3500,Novedrate,"{""lat"": 45.72, ""lon"": 9.116}",6.0,95,3,70,False,False,False,False
90,Università Telematica Pegaso,Scienze Economiche,"Economia online, management, organizzazione aziendale","Reskilling per professionisti, avanzamento di carriera","Studio da remoto, nessun vincolo di sede",3000,Napoli,"{""lat"": 40.8518, ""lon"": 14.2681}",6.0,95,3,68,False,False,False,False
